id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL05B-L1-01,Level 1,multiple_choice,某採購承辦人離職後第2年，受廠商委託回原服務機關接觸同類採購案。依第05講，主要問題為何？,可能違反離職後3年內不得就原服務機關採購接觸或處理之限制,離職後第2年已完全不受限制,只要廠商付費就可自由接觸,只要改用電話聯絡就不算接觸,A,1,TRUE,第05講整理，承辦或兼辦採購人員離職後3年內，不得為本人或代理廠商，就其原服務機關之採購接觸或處理。,離職後限制,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-02,Level 1,multiple_choice,某評選委員發現投標廠商負責人是其配偶。依第05講，較適當處理為何？,主動揭露並迴避,繼續評選但不告知任何人,要求該廠商先得標再補文件,只要分數給低一點即可不迴避,A,1,TRUE,第05講整理，涉及本人、配偶或三親等內親屬之採購事務，應主動迴避。,利益迴避,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-03,Level 1,multiple_choice,某機關開評選會前，主持人未詢問與會人員是否有利害關係。依第05講，較完整的內控作法為何？,開標或評選前由主持人宣示並請與會人員揭露利害關係,等廠商抗議後才處理即可,由主持人自行猜測誰有關係,禁止所有人揭露利害關係,A,1,TRUE,第05講提醒機關應建立利益衝突申報與迴避流程，開標或評選前由主持人宣示並請與會人員揭露。,利益衝突內控,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-04,Level 1,multiple_choice,某採購案決標後才發現承辦人未迴避與親屬相關之採購事務。依第05講，主要風險為何？,產生公平性與爭議風險，應啟動調查與必要補救,既然已決標就一定完全沒問題,可以刪除相關紀錄避免爭議,只需要求廠商私下道歉,A,1,TRUE,第05講指出若事後發現未迴避且已決標，將產生公平性與爭議風險，應啟動調查與必要補救處理。,未迴避後果,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-05,Level 1,multiple_choice,某議員電話要求機關把招標規格改成特定品牌。依第05講，機關應如何處理較妥？,作成書面、文字或錄音等紀錄並留存備查,不留紀錄，直接照辦,只在私人手機刪除通話紀錄,等決標後再假裝沒發生,A,1,TRUE,第05講整理，對採購案件的請託關說，需以書面、文字或錄音等方式作成紀錄，留存備查；指定品牌屬應注意事項。,請託關說,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-06,Level 1,multiple_choice,廠商於驗收後要求機關更改驗收結果。依第05講，這類聯絡是否仍需記錄？,需要，驗收期間與驗收後之請託關說也須記錄,不需要，只有招標前才要記錄,不需要，只有開標當天才要記錄,不需要，只要是驗收後都自由處理,A,1,TRUE,第05講列出請託關說涵蓋招標前、招標後、契約履行或驗收期間與驗收後，均須記錄。,請託關說時點,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-07,Level 1,multiple_choice,某機關採購案有大量口頭、傳真、電子郵件指示。依第05講，較佳制度設計為何？,建立標準化聯絡或請託登錄表，將指示與聯絡形成紀錄,只記得大概內容即可,一律不收電子郵件,只記錄對機關有利的部分,A,1,TRUE,第05講建議建立標準化聯絡或請託登錄表與錄音機制，口頭、傳真、電子方式之指示或聯絡一律形成紀錄。,聯絡登錄,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-08,Level 1,multiple_choice,某外國廠商參與我國政府採購，機關文件卻完全未考量我國國際承諾。依第05講，主要問題為何？,涉及國際承諾案件，文件與程序須符合承諾範圍與門檻,外國廠商永遠不得參與政府採購,外國廠商參與時完全不必看條約協定,只要廠商國籍不同就可任意排除,A,1,TRUE,第05講整理外國廠商參與政府採購，應依我國參與之條約與協定辦理，例如WTO GPA；涉及國際承諾者須符合承諾範圍與門檻。,外國廠商,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-09,Level 1,multiple_choice,某軍購案涉及國安與機密，機關欲採特殊例外處理。依第05講，何者最重要？,須有充分法律依據與書面理由,只要主管口頭同意即可,可以完全不留任何資料,由廠商自行決定例外範圍,A,1,TRUE,第05講提醒軍購等特殊類型如涉及國安或機密，得依法定例外處理，但須有充分法律依據與書面理由。,國安例外,Notion：政府採購法 / 第05講 / 不同方向
GPL05B-L1-10,Level 1,multiple_choice,某公告金額以上採購，承辦人因方便直接採限制性招標，未說明法條依據。依第05講，主要缺失為何？,方法選擇須有法條依據與書面理由,限制性招標永遠不需理由,公告金額以上不得採公開招標,只要方便就可不公告,A,1,TRUE,第05講提醒招標方法選擇須有法條依據與書面理由；公告金額以上原則公開招標，改採選擇性或限制性須符合要件。,招標方式選擇,Notion：政府採購法 / 第05講 / 不同方向
