id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL23B-L1-01,Level 1,multiple_choice,某機關只在完工驗收時看品質，前面規劃設計、監造與施工過程都放任廠商處理。依第23講，主要問題為何？,工程品質應從規劃設計、監造、施工到改善全生命週期落實,品質只需完工驗收一次,規劃設計與品質無關,監造與品質無關,A,1,TRUE,第23講核心是從規劃設計、監造、施工到品質管理，把品質落實到工程全生命週期。,全生命週期品質,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-02,Level 1,multiple_choice,某工程設計階段很完整，但監造管理鬆散、施工品質控制不足。依第23講，何者正確？,規劃設計、監造管理、施工品質控制三者缺一不可,只要設計好即可,只要承包商便宜即可,只要完工即可,A,1,TRUE,第23講列出工程品質管理三階段：規劃設計、監造管理、施工品質控制，三者缺一不可。,三階段缺一不可,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-03,Level 1,multiple_choice,某工程發生品質缺失，業主、設計監造單位與承包廠商互推責任。依第23講，工程主要參與角色為何？,業主、設計監造單位、承包廠商,只有承包商,只有監造單位,只有新聞媒體,A,1,TRUE,第23講工程參與角色包含業主、設計監造單位與承包廠商。,角色責任,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-04,Level 1,multiple_choice,某題問第23講完整案例，考生答成第22講鋼構品質通論。依第23講，案例應為何？,國立故宮博物院南部院區新建工程,中山高速公路拓寬,境外電商平台建置,採購申訴委員會案例,A,1,TRUE,第23講指出老師以國立故宮博物院南部院區新建工程作為完整案例。,故宮南院案例,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-05,Level 1,multiple_choice,故宮南院案例中，若考題問其建築工程特色，下列何者較完整？,亞洲藝術文化館、綠建築概念、鋼骨構造、隔震設計,純木造、無隔震、無綠建築,只是一座停車場,只是不良廠商公告案例,A,1,TRUE,第23講列出故宮南院特色包含亞洲藝術文化館、綠建築概念、鋼骨構造、隔震設計。,案例特色,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-06,Level 1,multiple_choice,某人只記得綠建築要省電，忘了生物多樣性、綠化量、基地保水。依第23講，主要問題為何？,綠建築九大指標不只日常節能，也包含生物多樣性、綠化量、基地保水等,綠建築只有省電,綠建築只看外觀,綠建築與工程無關,A,1,TRUE,第23講綠建築九大指標包含生物多樣性、綠化量、基地保水、日常節能等。,綠建築漏項,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-07,Level 1,multiple_choice,某工程宣稱綠建築，但不管水資源、污水垃圾改善與廢棄物減量。依第23講，主要缺失為何？,水資源、污水垃圾改善、廢棄物減量皆屬綠建築九大指標,水資源不屬綠建築,污水垃圾與綠建築無關,廢棄物越多越好,A,1,TRUE,第23講綠建築九大指標包含CO₂減量、廢棄物減量、室內環境、水資源、污水垃圾改善。,綠建築水與廢棄物,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-08,Level 1,multiple_choice,某工程把隔震器裝在裝飾牆上，說可吸收地震能量。依第23講，常見隔震器位置為何？,基礎與柱腳之間,屋頂廣告牌上,會議室門口,押標金收據旁,A,1,TRUE,第23講指出隔震器常設置於基礎與柱腳之間，用以吸收地震能量。,隔震位置,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-09,Level 1,multiple_choice,大型工程概要表沒有業主、設計監造單位、承包商、金額與工期。依第23講，主要問題為何？,大型工程概要表應記載工程名稱、業主、設計監造單位、承包商、地點、金額、工期,概要表只需工程名稱,概要表不得寫金額,概要表與品質完全無關,A,1,TRUE,第23講指出大型工程概要表包含工程名稱、業主、設計監造單位、承包商、地點、工程金額、工期。,工程概要表缺漏,Notion：政府採購法 / 第23講 / 再一次
GPL23B-L1-10,Level 1,multiple_choice,監造計畫只放封面，沒有督導施工、發現缺失、改善品質的安排。依第23講，主要缺失為何？,監造計畫目的在督導施工、發現缺失、改善品質,監造計畫只需封面,監造不得發現缺失,改善品質不是監造目的,A,1,TRUE,第23講指出監造計畫依據工程品質管理作業要點，目的為督導施工、發現缺失、改善品質。,監造計畫目的,Notion：政府採購法 / 第23講 / 再一次
