id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL23-L1-01,Level 1,multiple_choice,依第23講，本講進一步討論工程品質如何真正落實到何種流程？,規劃設計、監造、施工、品質管理,不良廠商公告與禁入,共同供應契約下單,境外採購稅務登記,A,1,TRUE,第23講指出第22講談工程施工品質如何查核，第23講進一步談從規劃設計、監造、施工到品質管理如何落實。,講次主軸,Notion：政府採購法 / 第23講
GPL23-L1-02,Level 1,multiple_choice,依第23講，老師以何者作為完整案例？,國立故宮博物院南部院區新建工程,台北捷運票價案,中山高速公路收費站,境外電商平台,A,1,TRUE,第23講指出老師以故宮南院新建工程作為完整案例。,案例,Notion：政府採購法 / 第23講
GPL23-L1-03,Level 1,multiple_choice,依第23講，工程品質管理三階段為何？,規劃設計、監造管理、施工品質控制,公告、領標、投標,異議、申訴、仲裁,付款、保固、銷案,A,1,TRUE,第23講列出工程品質管理三階段：規劃設計、監造管理、施工品質控制，三者缺一不可。,工程品質三階段,Notion：政府採購法 / 第23講
GPL23-L1-04,Level 1,multiple_choice,依第23講，工程參與角色不包括下列何者？,業主、設計監造單位、承包廠商,政府機關,建築師事務所或工程顧問公司,隨機路人陪標團,D,1,TRUE,第23講列出工程參與角色包含業主、設計監造單位、承包廠商。,工程參與角色,Notion：政府採購法 / 第23講
GPL23-L1-05,Level 1,multiple_choice,依第23講，工程參與角色中的業主例如何者？,政府機關,焊工考試補習班,未得標廠商,新聞媒體,A,1,TRUE,第23講指出業主例如政府機關。,業主,Notion：政府採購法 / 第23講
GPL23-L1-06,Level 1,multiple_choice,依第23講，設計監造單位可包括何者？,建築師事務所、工程顧問公司,便利商店,境外電商平台,法院書記官,A,1,TRUE,第23講指出設計監造單位例如建築師事務所、工程顧問公司。,設計監造單位,Notion：政府採購法 / 第23講
GPL23-L1-07,Level 1,multiple_choice,依第23講，承包廠商可包括何者？,營造公司、水電公司、空調公司,行政院公共工程委員會,採購申訴委員會,審計機關,A,1,TRUE,第23講指出承包廠商例如營造公司、水電公司、空調公司。,承包廠商,Notion：政府採購法 / 第23講
GPL23-L1-08,Level 1,multiple_choice,依第23講，故宮南院案例特色不包括下列何者？,亞洲藝術文化館、綠建築概念、鋼骨構造、隔震設計,綠建築概念,隔震設計,純木構造且無隔震,D,1,TRUE,第23講列出故宮南院特色包含亞洲藝術文化館、綠建築概念、鋼骨構造、隔震設計。,故宮南院特色,Notion：政府採購法 / 第23講
GPL23-L1-09,Level 1,multiple_choice,依第23講，下列何者屬綠建築九大指標？,生物多樣性、綠化量、基地保水、日常節能,借名投標、冒名投標、偽造文件,異議、申訴、調解、仲裁,開標、審標、決標、公告,A,1,TRUE,第23講列出綠建築九大指標包含生物多樣性、綠化量、基地保水、日常節能等。,綠建築九指標,Notion：政府採購法 / 第23講
GPL23-L1-10,Level 1,multiple_choice,依第23講，下列何者亦屬綠建築九大指標？,CO₂減量、廢棄物減量、室內環境、水資源、污水垃圾改善,營業稅稅率,不良廠商禁入期間,審議判斷效力,A,1,TRUE,第23講列出綠建築九大指標包含CO₂減量、廢棄物減量、室內環境、水資源、污水垃圾改善。,綠建築九指標,Notion：政府採購法 / 第23講
