id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL20C-L1-01,Level 1,multiple_choice,某投標廠商只把材料費列入報價，完全漏列人工、運輸、儲存、檢驗與售後服務。依第20講，主要問題為何？,未採總成本觀，成本構成不完整,只列材料費最合規,售後服務不得列入成本,運輸儲存完全不用估算,A,1,TRUE,第20講價格與成本分析強調總成本觀，包含直接材料/人工、間接材料/人工/管銷，以及服務、運輸、儲存、檢驗測試、交期、品質不良率、售後服務等。,成本構成,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-02,Level 1,multiple_choice,某營造工程報價完全未估利潤與管銷，只想低價搶標。依第20講，報價策略較應如何設計？,成本加合理利潤與管銷，建立心中目標價或底價,完全不估成本也可,利潤永遠不得編列,只用最低價壓過別人即可,A,1,TRUE,第20講指出標價策略應為成本＋合理利潤＋管銷，並建立心中目標價/底價。,合理利潤,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-03,Level 1,multiple_choice,機關審標時只看採購當下價格，完全不看維護、售後、品質不良率與履約風險。依第20講，主要缺失為何？,未重視全生命週期成本 LCC 與履約風險,LCC只適用刑事案件,維護成本永遠不重要,審標只能看單價最低,A,1,TRUE,第20講指出審標時重視全生命週期成本（LCC）與履約風險。,全生命週期成本,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-04,Level 1,multiple_choice,某委員認為最有利標完全不能看價格。依第20講，何者正確？,最有利標仍可評估價格，只是不只看低價,最有利標絕對不得看價格,最有利標只看最低價,價格只能驗收後才看,A,1,TRUE,第20講指出最有利標評審面向包含技術、品質、功能、商業條件與價格。,MAT價格面向,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-05,Level 1,multiple_choice,某大型複雜工程若只用最低價，可能發生履約風險與浪費。依第20講，政策導向為何？,大額、複雜、專業性標的優先採最有利標,大額複雜標的一律不得評選,所有案件只准最低標,最有利標只適用文具,A,1,TRUE,第20講指出大額/複雜/專業性標的優先採最有利標，以避免單一低價造成履約風險與浪費。,政策導向,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-06,Level 1,multiple_choice,某機關未先成立評選委員會與訂評選標準，就已公告最有利標。依第20講，程序問題為何？,招標前應成立評選委員會並訂/審評選標準,評選委員會只能驗收後成立,標準可得標後才訂,不需評選標準,A,1,TRUE,第20講核心程序第一步為招標前成立評選委員會，訂/審評選標準。,MAT程序順序,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-07,Level 1,multiple_choice,某最有利標案完全沒有工作小組初審，評選委員直接面對雜亂資料。依第20講，較佳作法為何？,必要時成立工作小組進行文件初審與資格/規格查核,工作小組絕對禁止成立,工作小組只能決定得標廠商,工作小組不用看文件,A,1,TRUE,第20講指出成立工作小組可進行初審，工作小組任務包括文件初審、資格/規格查核、廠商說明會等。,工作小組初審,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-08,Level 1,multiple_choice,協商過程只有電話溝通，沒有書面措施或紀錄。依第20講，主要問題為何？,必要時應採書面措施，並控制協商/議價輪次與留痕,協商不得留任何紀錄,電話協商永遠足夠,協商可無限輪且不用紀錄,A,1,TRUE,第20講最有利標程序提到必要時採書面措施（含減價/議價），並控制協商/議價輪次。,協商書面化,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-09,Level 1,multiple_choice,評選出優勝廠商後，機關未就細節協商也未完成合約，就讓廠商先做。依第20講，主要問題為何？,應依第56條與優勝廠商就細節協商，完成合約後履約,評選完即可無約履行,合約可完工後再補,第56條只管押標金,A,1,TRUE,第20講核心程序指出，依第56條與優勝廠商就細節協商，完成合約。,合約完成,Notion：政府採購法 / 第20講 / 第三套
GPL20C-L1-10,Level 1,multiple_choice,公告金額以上採最有利標，機關想完全不公告也不走完整程序。依第20講，何者正確？,公告金額以上適合採不訂底價之最有利標，須公報公告且程序完整,公告金額以上完全不用公告,公告金額以上只能小額逕洽,公告金額以上不得最有利標,A,1,TRUE,第20講指出公告金額以上適合採不訂底價之最有利標，公報公告、程序完整。,公告金額以上,Notion：政府採購法 / 第20講 / 第三套
