id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL10-L1-01,Level 1,multiple_choice,依第10講，本講核心主題為何？,同質/異質判準與決標方式選用,押標金退還與沒收,GPA與國民待遇,驗收與保固,A,1,TRUE,第10講標題與重點為同質/異質與決標原則，核心在判斷同質或異質後選用最低標、異質最低標或最有利標。,講次主軸,Notion：政府採購法 / 第10講
GPL10-L1-02,Level 1,multiple_choice,依第10講，異質採購的判準較接近下列何者？,不同廠商在技術、品質、功能、效益、特性或商業條款存在差異,所有廠商條件完全沒有差異,只要價格相同即為異質,只要是小額採購即為異質,A,1,TRUE,第10講依施行細則第66條整理，異質係指不同廠商在技術、品質、功能、效益、特性或商業條款含價格存在差異。,異質定義,Notion：政府採購法 / 第10講
GPL10-L1-03,Level 1,multiple_choice,依第10講，同質採購的判準較接近下列何者？,技術、品質、功能、效益、特性或商業條款無實質差異,所有廠商一定都報不同價格,方案差異顯著且規格難單一,必須採最有利標,A,1,TRUE,第10講整理，同質是指技術、品質、功能、效益、特性或商業條款等構面無實質差異。,同質定義,Notion：政府採購法 / 第10講
GPL10-L1-04,Level 1,multiple_choice,依第10講，若採購標的為同質，原則上較適合採何種決標方式？,最低標,最有利標,異質最低標,完全不決標,A,1,TRUE,第10講決策流程明示：同質採購原則上採最低標。,決標方式選用,Notion：政府採購法 / 第10講
GPL10-L1-05,Level 1,multiple_choice,依第10講，異質但差異小者，較適合採何種決標方式？,異質最低標,完全抽籤,無條件最有利標,完全不看價格,A,1,TRUE,第10講決策流程為：異質且差異小，採異質最低標。,決標方式選用,Notion：政府採購法 / 第10講
GPL10-L1-06,Level 1,multiple_choice,依第10講，異質且差異大、規格難以單一化者，較適合採何種決標方式？,最有利標,一定最低標,完全免評選,只用廠商自評,A,1,TRUE,第10講指出異質且差異大、規格難單一者，適合採最有利標。,決標方式選用,Notion：政府採購法 / 第10講
GPL10-L1-07,Level 1,multiple_choice,依第10講，判斷同質或異質時，下列何者是實務判斷重點？,規格是否明確可單一化、市場供應型態、方案差異程度,承辦人是否喜歡某廠商,廠商辦公室是否漂亮,投標書封面顏色,A,1,TRUE,第10講列出實務判斷重點，包括規格是否明確可單一化、市場供應型態如現貨或客製、方案差異程度。,實務判斷,Notion：政府採購法 / 第10講
GPL10-L1-08,Level 1,multiple_choice,依第10講，最低標之要件與適用主要對應採購法第幾條？,第52條,第56條,第58條,第22條,A,1,TRUE,第10講法源整理指出，採購法第52條為最低標之要件與適用。,最低標法源,Notion：政府採購法 / 第10講
GPL10-L1-09,Level 1,multiple_choice,依第10講，最有利標主要對應採購法第幾條？,第56條,第30條,第41條,第52條,A,1,TRUE,第10講法源整理指出，採購法第56條為最有利標，應依作業標準與評選辦法辦理。,最有利標法源,Notion：政府採購法 / 第10講
GPL10-L1-10,Level 1,multiple_choice,依第10講，標價偏低之處理主要對應採購法第幾條？,第58條,第17條,第31條,第70條,A,1,TRUE,第10講法源整理指出，採購法第58條處理標價偏低，以避免低價搶標造成履約風險。,標價偏低,Notion：政府採購法 / 第10講
GPL10-L1-11,Level 1,multiple_choice,依第10講，異質性定義主要來自何者？,施行細則第66條,採購法第1條,採購法第98條,民法總則,A,1,TRUE,第10講明示施行細則第66條為異質性定義之法源。,異質定義法源,Notion：政府採購法 / 第10講
