id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL07B-L1-01,Level 1,multiple_choice,某承辦人尚未判斷採購標的是工程、財物或勞務，就直接套用招標程序。依第07講，最主要的前置缺失為何？,未先確認標的類型與金額級距,未先確認廠商喜好,未先確認天氣,未先確認主管休假日,A,1,TRUE,第07講強調採購前兩大確認：標的類型與金額級距；不同類型與門檻會影響程序與審查強度。,採購前判斷,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-02,Level 1,multiple_choice,某案包含工程800萬元、設備300萬元、顧問服務100萬元。依第07講，較可能如何歸類？,工程金額占比最高，歸類為工程,只要有設備就歸類為財物,只要有顧問就歸類為勞務,三者混合就完全不適用採購法,A,1,TRUE,第07講整理複合標的以預算金額占比最高者歸類；本例工程占比最高。,複合標的,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-03,Level 1,multiple_choice,某工程採購金額已達公告金額以上，承辦人卻按小額採購簡化辦理。依第07講，主要問題為何？,金額級距判斷錯誤，可能導致程序適用錯誤,公告金額以上一定可以簡化,工程採購永遠不看金額,只要廠商同意即可,A,1,TRUE,第07講指出金額級距對應不同程序與審查強度，公告金額以上須公告，不能任意按小額程序處理。,金額門檻,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-04,Level 1,multiple_choice,依第07講，公告金額1/10以下得免公告逕行採購時，仍應注意何者？,仍需留痕與比價合理化,可以完全不留任何資料,可直接指定親友廠商且不需理由,不需要任何採購紀錄,A,1,TRUE,第07講提醒公告金額1/10以下得免公告逕行採購，但仍需留痕與比價合理化。,公告金額1/10以下,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-05,Level 1,multiple_choice,某新手不知道共同供應契約、歷史標案統計與GPA資料去哪查。依第07講，較適合先查哪裡？,政府電子採購網,私人網購平台,個人社群動態,飲料店菜單,A,1,TRUE,第07講整理政府電子採購網可查共同供應契約、歷史標案統計、GPA資料、範本、教育訓練與估價議價工具等。,資訊平台,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-06,Level 1,multiple_choice,某承辦人要找招標文件表格、採購手冊、判例與爭議處理案例。依第07講，較適合使用何者？,行政院公共工程委員會網站,私人購物車,廠商私人廣告,承辦人個人相簿,A,1,TRUE,第07講整理PCC網站提供公共工程法規、招標文件與表格、採購手冊、判例與爭議處理案例等。,PCC資源,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-07,Level 1,multiple_choice,某案內容為橋梁修建與機電設備安裝。依第07講，較可能屬於何種採購方向？,工程採購,純勞務採購,財產標售,人事任用,A,1,TRUE,第07講列示工程包括新建、增建、改建、修建、機械與化工設備安裝與系統工程等。,工程採購範圍,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-08,Level 1,multiple_choice,某公共工程涉及建築、消防、機電與室內裝修。依第07講，承辦人應有何認知？,工程採購常連結多種專業法規與專業簽證制度,只看採購法就完全足夠，其他法規都無關,所有專業簽證都可省略,消防與機電永遠不是工程問題,A,1,TRUE,第07講指出工程面常涉及建築法、消防法、技師法、營造業法、室內裝修管理、機電與環保等周邊法規。,周邊法規,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-09,Level 1,multiple_choice,某大型整體工程由未具綜合營造業資格者承攬。依第07講，最主要應注意何者？,承作主體是否具備營造業法所定適當登記與承攬資格,只要價格低即可不看資格,營造業資格完全不影響工程,所有工程都只要土木包工業即可,A,1,TRUE,第07講整理營造業法分類包含綜合營造業、專業營造業、土木包工業，各有登記與承攬範圍。,營造業資格,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-10,Level 1,multiple_choice,某在地小型綜合工程欲由土木包工業承作。依第07講，土木包工業的定位較接近何者？,向直轄市或縣市主管機關登記，承作在地小型綜合工程,專門承作所有國際巨額捷運工程,完全不需登記即可承作所有工程,只負責法律訴願代理,A,1,TRUE,第07講整理土木包工業向直轄市或縣市主管機關登記，承作在地小型綜合工程。,土木包工業,Notion：政府採購法 / 第07講 / 再一次
GPL07B-L1-11,Level 1,multiple_choice,某高壓電氣工程由一般營造業直接施作，未確認電氣承裝業資格。依第07講，主要風險是什麼？,部分高低壓系統工程需具電氣承裝業等專業資格,電氣工程一律不得採購,電氣承裝業資格只適用室內裝修,所有營造業均可承作任何高壓工程,A,1,TRUE,第07講指出電氣承裝業分級對應可承作之高低壓系統範圍，部分工程不得由一般營造業逕為承裝。,專業承裝,Notion：政府採購法 / 第07講 / 再一次
