id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL11-L1-01,Level 1,multiple_choice,依第11講，本講主要以何種情境說明政府採購法實務？,國立大學採購案例,私人公司股東會,刑事偵查程序,家庭買賣糾紛,A,1,TRUE,第11講標題即為以國立大學案例為主，將政府採購制度落實到金額級距、內部流程、法條適用與常見錯誤修正。,講次主軸,Notion：政府採購法 / 第11講
GPL11-L1-02,Level 1,multiple_choice,依第11講，採購流程主要依何者分流，搭配校內權責分工與法定程序？,金額級距,承辦人年齡,廠商名稱長短,付款帳戶銀行,A,1,TRUE,第11講指出採購流程以金額級距分流，愈高金額，程序愈嚴謹、文件愈齊備。,核心概念,Notion：政府採購法 / 第11講
GPL11-L1-03,Level 1,multiple_choice,依第11講，下列何者屬關鍵合規風險之一？,分批拆案規避,依法公告招標,承辦與主驗分流,規格以功能效益描述,A,1,TRUE,第11講列出關鍵合規風險，包括分批拆案規避、規格限縮競爭、限制性招標要件不足、驗收與承辦權責混同、保密義務違反。,合規風險,Notion：政府採購法 / 第11講
GPL11-L1-04,Level 1,multiple_choice,依第11講，公開招標主要對應採購法第幾條？,第19條,第20條,第22條,第71條,A,1,TRUE,第11講招標方式導讀中整理公開招標為採購法第19條。,招標方式,Notion：政府採購法 / 第11講
GPL11-L1-05,Level 1,multiple_choice,依第11講，選擇性招標主要對應採購法哪些條文？,第20條、第21條,第14條、第26條,第52條、第71條,第89條、刑法第132條,A,1,TRUE,第11講整理選擇性招標對應採購法第20條、第21條。,招標方式,Notion：政府採購法 / 第11講
GPL11-L1-06,Level 1,multiple_choice,依第11講，限制性招標應注意何者？,須具備法定事由與書面理由,不需任何理由,可任意指定廠商且不留紀錄,只能用於未達1萬元案件,A,1,TRUE,第11講整理限制性招標為採購法第22條第1款至第16款，須具備法定事由與書面理由。,限制性招標,Notion：政府採購法 / 第11講
GPL11-L1-07,Level 1,multiple_choice,依第11講，決標方式主要對應採購法第幾條？,第52條,第26條,第14條,第89條,A,1,TRUE,第11講整理決標方式對應採購法第52條，包括最低標、最有利標、議價決標，依採購標的性質選用。,決標方式,Notion：政府採購法 / 第11講
GPL11-L1-08,Level 1,multiple_choice,依第11講，技術規格原則上應如何訂定？,依功能或效益訂定，不得限制競爭,直接指定單一廠牌,只寫進口國別,由廠商私下決定,A,1,TRUE,第11講依第26條整理，規格應依功能或效益訂定，不得限制競爭，不得指定特定廠牌、專利或國別。,技術規格,Notion：政府採購法 / 第11講
GPL11-L1-09,Level 1,multiple_choice,依第11講，若規格難以精確描述而需載明特定品牌或規格時，較合規作法為何？,載明或同等品，並預先要求佐證以利審查,完全禁止同等品,只接受承辦人喜歡的品牌,只接受特定國別產品,A,1,TRUE,第11講整理，必要時得載明或同等品，並預先要求標準、測試、性能報告等證明資料，便於審查。,同等品,Notion：政府採購法 / 第11講
GPL11-L1-10,Level 1,multiple_choice,依第11講，禁止為逃避法令而分批規避主要對應何者？,採購法第14條與施行細則第13條,採購法第52條,採購法第71條,採購法第98條,A,1,TRUE,第11講整理禁止分批規避對應採購法第14條與施行細則第13條，含應合併計算選購或擴充金額。,分批規避,Notion：政府採購法 / 第11講
GPL11-L1-11,Level 1,multiple_choice,依第11講，下列何者較可能應合併計算採購金額？,同一需求、同一時間、同一或相近標的、同一地點範圍,不同專業、不同需求、不同地點且可說明合理性,完全無關的採購,不同年度且無同一需求,A,1,TRUE,第11講整理應合併計算情形包括同一需求、同一時間、同一或相近標的、同一地點/範圍、選購/擴充金額。,分批規避,Notion：政府採購法 / 第11講
