id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL25B-L1-01,Level 1,multiple_choice,依第25講，本講聚焦於政府採購中的何種核心？,採購行為中的人、誠信、工程倫理與採購人員倫理,工程材料TAF試驗流程,共同供應契約下單,瀝青混凝土壓實度,A,1,TRUE,第25講主軸是工程倫理與採購人員倫理，聚焦採購行為中的人與誠信，銜接法律規範與專業倫理。,講次主軸,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-02,Level 1,multiple_choice,依第25講，政府採購法第112條授權主管機關訂定何者？,採購人員倫理準則,工程施工查核小組作業辦法,投標須知範本,共同供應契約目錄,A,1,TRUE,第25講指出第112條授權主管機關訂定採購人員倫理準則。,第112條,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-03,Level 1,multiple_choice,依第25講，法律、倫理、道德的層次關係為何？,法律是最低標準且具強制力，倫理是團體規範，道德是個人準則,道德一定高於法律且可強制處罰,倫理完全沒有規範意義,法律只是個人喜好,A,1,TRUE,第25講整理法律、倫理、道德層次：法律為最低標準且具強制力，倫理為團體規範，道德為個人準則。,規範層次,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-04,Level 1,multiple_choice,某採購人員說只要不違法，就一定完全符合倫理。依第25講，主要錯誤為何？,法律只是最低標準，倫理仍要求專業團體規範與誠信行為,法律已涵蓋所有道德義務,倫理只能取代法律,道德不得高於法律,A,1,TRUE,第25講區分法律、倫理、道德；法律是具強制力的最低標準，不等於倫理要求全部滿足。,法律最低標準,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-05,Level 1,multiple_choice,依第25講，工程師四大責任中，對社會的核心為何？,維護公共安全、保障福祉，且為最高優先,替廠商壓低成本,保護底價外洩,只追求工程外觀,A,1,TRUE,第25講指出工程師對社會之責任為維護公共安全、保障福祉，且為最高優先。,工程師對社會責任,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-06,Level 1,multiple_choice,工程師發現設計可能危及公共安全，但業主要求不要聲張以免延誤工期。依第25講，工程師應優先考量何者？,公共安全與社會福祉,業主面子,趕工績效,廠商利潤,A,1,TRUE,第25講工程師對社會責任要求維護公共安全、保障福祉，為最高優先。,公共安全優先,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-07,Level 1,multiple_choice,依第25講，工程師對專業的責任包括何者？,持續進修、誠實執業,收受回扣,隱匿缺失,借牌投標,A,1,TRUE,第25講指出工程師對專業責任為持續進修、誠實執業。,工程師對專業責任,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-08,Level 1,multiple_choice,依第25講，工程師對業主或雇主的責任包括何者？,真誠服務、不收回扣,只替特定廠商開後門,洩漏底價,收受禮品招待,A,1,TRUE,第25講指出工程師對業主/雇主的責任是真誠服務、不收回扣。,工程師對業主雇主責任,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-09,Level 1,multiple_choice,依第25講，工程師對同僚的責任為何？,分工合作、尊重專業,搶功勞並隱匿資料,要求同僚配合圍標,互相洩漏底價,A,1,TRUE,第25講指出工程師對同僚的責任是分工合作、尊重專業。,工程師對同僚責任,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-10,Level 1,multiple_choice,採購案涉及承辦人本人利益時，依第25講應如何處理？,應行迴避,可繼續承辦,只需口頭說明即可,等決標後再處理,A,1,TRUE,第25講利益迴避指出涉及本人利益時應行迴避。,利益迴避對象,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-11,Level 1,multiple_choice,採購案投標廠商實際由承辦人配偶經營。依第25講，承辦人應如何處理？,應行迴避,可以正常審標,只要配偶不出席即可,決標後再補簽即可,A,1,TRUE,第25講指出涉及本人、配偶、二親等內親屬、三親等內血親利益時，應行迴避。,配偶利益,Notion：政府採購法 / 第25講 / 再一次
GPL25B-L1-12,Level 1,multiple_choice,採購案明顯涉及承辦人二親等內親屬利益。依第25講，何者正確？,應行迴避,只需保密即可,仍可擔任評選委員,可要求親屬低價投標,A,1,TRUE,第25講利益迴避對象包含二親等內親屬。,二親等內親屬,Notion：政府採購法 / 第25講 / 再一次
