id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL03B-L1-01,Level 1,multiple_choice,某新進承辦人只讀政府採購法母法，不看施行細則。依第03講的學習方法，較適當的建議為何？,母法與施行細則對讀，才能建立程序與實務架構,只要背廠商名稱即可，不必看條文,只看新聞案例即可，不必看法規,完全依主管口頭指示，不用查資料,A,1,TRUE,第03講強調以母法條文加施行細則對讀，並連結主管機關與品質管理，建立系統化架構。,母法與施行細則對讀,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-02,Level 1,multiple_choice,某機關認為採購只要速度快，不必公開公平，也不用重視品質。依第03講，最主要的問題是什麼？,忽略第1條所強調的公平、公開、效率功能與品質管理,符合政府採購法所有目的,只要價格低就完全合法,只要廠商願意即可排除採購法,A,1,TRUE,第03講整理第1條目的包含公平公開程序、效率與功能、品質管理，不能只追求速度。,採購目的,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-03,Level 1,multiple_choice,某學校採購案包含增建校舍與修繕既有設備。依第03講，這最接近哪一類採購？,工程採購,財物採購,勞務採購,爭議處理,A,1,TRUE,第03講將工程列為新建、增建、改建、修建等，增建校舍與修繕設備偏工程採購。,採購範圍判斷,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-04,Level 1,multiple_choice,某機關承租機具設備並買受不動產權利。依第03講，最可能屬於何種採購範圍？,財物採購,勞務採購,工程採購,行政救濟,A,1,TRUE,第03講將財物列為買受、訂製、承租、不動產、機具設備等。,採購範圍判斷,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-05,Level 1,multiple_choice,某機關委任外部團隊辦理研究發展與專業技術服務。依第03講，最可能屬於何種採購？,勞務採購,財物採購,工程採購,標售財產,A,1,TRUE,第03講將勞務列為委任、雇用、專業或技術服務、研發等。,採購範圍判斷,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-06,Level 1,multiple_choice,甲基金會辦理採購，政府補助占採購總額55%。依第03講，第4條較可能如何處理？,因補助占二分之一以上，準用採購法相關程序,因基金會不是政府機關，所以一定完全不適用,只要不是100%補助就不處理,由廠商自行決定是否開標,A,1,TRUE,第03講整理法人或團體受機關補助辦理採購，補助金額占採購總額1/2以上者，準用採購法開標、比價、議價、決標等程序。,補助納管,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-07,Level 1,multiple_choice,某團體接受A機關補助30%、B機關補助25%辦理同一採購。依第03講，多機關共同補助時應如何看待補助比例？,合併計算，合計已超過二分之一,只看A機關，所以未達二分之一,只看B機關，所以未達二分之一,兩個補助都不得計算,A,1,TRUE,第03講提到多機關共同補助時，金額合併計算。,多機關補助,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-08,Level 1,multiple_choice,某學校不熟採購程序，想委託市府或公務局代辦採購。依第03講，何者較正確？,機關得委託其他機關代辦採購,學校絕對不得委託任何機關代辦,只有廠商可以代辦採購,代辦後即完全不用遵守採購法,A,1,TRUE,第03講第5條整理機關得委託其他機關代辦採購，例如學校委託市府或公務局代辦。,委託代辦,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-09,Level 1,multiple_choice,某受託機關一方面代辦採購，一方面又想成為同案廠商。依第03講，主要問題為何？,角色混同，受託機關不得同時為該採購之廠商,這是提高效率，完全沒有問題,只要價格低即可,只要未達公告金額就必然可以,A,1,TRUE,第03講提醒避免角色混同，受託機關不得同時為該採購之廠商。,角色混同,Notion：政府採購法 / 第03講 / 不同方向
GPL03B-L1-10,Level 1,multiple_choice,承辦採購的人員發現投標廠商負責人是自己的近親。依第03講，較適當的處理為何？,因有利害關係，應迴避,可繼續辦理並優先照顧該廠商,只要不說就沒有問題,改用最低標即可排除利益迴避,A,1,TRUE,第03講第6條整理採購人員屬利害關係時應迴避，以維持公平交易並避免利益衝突。,利益迴避,Notion：政府採購法 / 第03講 / 不同方向
