id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL19B-L1-01,Level 1,multiple_choice,某同學讀第19講時，只記得最有利標，忘了前半段第101–114條。依第19講，本講完整主軸為何？,第101–114條規範與最有利標 MAT,只講共同供應契約,只講土石方履約管理,只講異議申訴第74–100條,A,1,TRUE,第19講標題明示本講聚焦第101至114條，並銜接最有利標之法源、適用時機與評選實務。,講次主軸,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-02,Level 1,multiple_choice,機關發現廠商疑似有重大違規，想直接刊登政府採購公報。依第19講，較正確前置程序為何？,先以書面通知廠商，載明事實與理由,直接公告即可，不需通知,只要口頭警告即可,先請廠商自行公告,A,1,TRUE,第19講第101條指出，機關發現特定重大違規行為，應先以書面通知廠商，載明事實與理由。,第101條通知,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-03,Level 1,multiple_choice,廠商借用他人名義投標，或偽造投標文件。依第19講，較可能屬第101條何類不良廠商態樣？,身分與文件類重大違規,綠色採購優先,大型採購效益分析,駐外機關採購慣例,A,1,TRUE,第19講將常見態樣分組，其中身分與文件類包含借名或冒名投標、偽造變造投標/契約/履約文件。,身分文件違規,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-04,Level 1,multiple_choice,廠商擅自減省工料，驗收不合且情節重大。依第19講，較可能觸及何種後果？,可能成為第101條不良廠商認定態樣,一定只是小瑕疵,只能要求綠色採購,只影響押標金收據,A,1,TRUE,第19講第101條履約義務類包含擅自減省工料、查驗/驗收不合情節重大等。,履約義務違規,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-05,Level 1,multiple_choice,得標廠商違反第65條禁止轉包，把主要部分交給他人履行。依第19講，主要風險為何？,可能被列入第101條不良廠商態樣並影響後續投標資格,一定完全合法,只需補交環保標章,只需重新評選委員,A,1,TRUE,第19講提醒不得轉包；違反第65條禁止轉包可能列為不良廠商，並影響第103條之投標、決標或分包資格。,禁止轉包,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-06,Level 1,multiple_choice,招標文件未明定重大遲延判準，履約時才臨時主張廠商重大延誤。依第19講，新手應注意何者？,招標文件宜事先明定重大遲延認定基準,重大遲延永遠不得認定,只要承辦人覺得慢即可,重大遲延只看廠商態度,A,1,TRUE,第19講實務要點提醒，招標文件宜事先明定重大遲延判準；未載明時可依施行細則示範基準認定。,重大遲延基準,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-07,Level 1,multiple_choice,廠商收到第101條不良廠商通知後第30天才提出異議。依第19講，主要問題為何？,應於收到通知後20日內以書面向招標機關提出異議,異議期限是40天,異議期限是10天,完全沒有異議期限,A,1,TRUE,第19講第102條指出，廠商認為第101條通知違法或不實，應於收到通知後20日內，以書面向招標機關提出異議。,第102條異議期限,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-08,Level 1,multiple_choice,廠商不服第101條異議處理結果，第25天才向採購申訴委員會申訴。依第19講，主要問題為何？,應於處理結果送達或期間屆滿後15日內申訴,申訴期限是20天,申訴期限是60天,不良廠商通知不得申訴,A,1,TRUE,第19講第102條指出，對機關處理結果不服或機關逾期不處理，應於處理結果送達或期間屆滿後15日內向採購申訴委員會申訴。,第102條申訴期限,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-09,Level 1,multiple_choice,收到第101條通知後，廠商以為只有一個期限。依第19講，正確記憶為何？,20日異議、15日申訴，是兩階段兩時限,10日異議、40日申訴,15日異議、20日申訴,完全無期限,A,1,TRUE,第19講實務要點明示，20日異議、15日申訴是兩階段與兩時限，文件往返須保存完整。,兩階段救濟,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-10,Level 1,multiple_choice,廠商被刊登政府採購公報後，仍主張自己可照常投標與分包。依第19講，第103條效果為何？,一定期間內不得參加投標、不得作為決標對象或分包廠商,只影響公司商標,只影響營業稅,只影響環保標章,A,1,TRUE,第19講第103條指出，被公告廠商於一定期間內不得參加投標、不得作為決標對象或分包廠商。,第103條效果,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-11,Level 1,multiple_choice,機關基於重大公共利益，考慮讓被公告廠商參與特定必要採購。依第19講，應如何看待？,屬例外，須嚴格審酌並保留紀錄,永遠無條件開放,由廠商自行決定,只需口頭同意,A,1,TRUE,第19講第103條提到公共利益確有必要者，得依規定處理，但須嚴格審酌、保留紀錄。,第103條例外,Notion：政府採購法 / 第19講 / 再一次
GPL19B-L1-12,Level 1,multiple_choice,某機密國防採購涉及極機密作戰物資。依第19講，可能適用何種特例？,第104條軍事與國安相關採購特例,第107條文件保存例外,第111條使用效益查核,最有利標評選配分,A,1,TRUE,第19講第104條適用武器、彈藥、作戰物資或涉及國家安全/國防目的之採購，機密或極機密採購可免除部分程序。,第104條國安採購,Notion：政府採購法 / 第19講 / 再一次
